Pop Size,Mut Rate,Generation,Avg Fitness,Max Fitness,Avg Score,Avg Steps
50,0.01,1,1369.52,9803.5,0.013333333333333334,385.00666666666666
50,0.01,2,1484.57,13944.5,0.02,357.24
50,0.01,3,2727.63,29812.5,0.05333333333333334,436.4266666666667
50,0.01,4,4031.21,19803.5,0.08666666666666667,531.22
50,0.01,5,4767.72,39817.5,0.09999999999999999,637.4066666666666
50,0.01,6,5624.58,21954.5,0.11333333333333334,783.56
50,0.01,7,4166.21,19843.0,0.08,637.7533333333333
50,0.01,8,6983.95,21905.0,0.13333333333333333,1021.7666666666668
50,0.01,9,6907.1,21906.5,0.12666666666666668,1061.2666666666667
50,0.01,10,8976.55,31929.5,0.20666666666666667,956.2666666666668
50,0.01,11,10075.94,26090.0,0.22666666666666668,1114.48
50,0.01,12,12954.35,49868.5,0.36000000000000004,759.3333333333334
50,0.01,13,8712.2,29868.5,0.22,745.4333333333334
50,0.01,14,9716.04,41925.5,0.24666666666666667,811.68
50,0.01,15,10407.84,49869.0,0.26666666666666666,839.6133333333333
50,0.01,16,11554.4,33984.5,0.27999999999999997,1076.7333333333333
50,0.01,17,10839.72,43998.5,0.25333333333333335,1101.9066666666665
50,0.01,18,12075.94,44020.5,0.3,1049.3466666666666
50,0.01,19,11997.12,43994.0,0.26666666666666666,1339.7733333333333
50,0.01,20,10928.54,51927.0,0.24666666666666667,1193.68
50,0.01,21,12677.39,31942.0,0.2866666666666667,1367.68
50,0.01,22,15054.67,36085.0,0.38666666666666666,1169.84
50,0.01,23,13358.92,34017.0,0.34,1076.4733333333334
50,0.01,24,13624.05,41935.0,0.34,1158.3999999999999
50,0.01,25,12904.35,39871.5,0.34,931.6
50,0.01,26,18919.75,49873.0,0.5333333333333333,1000.3000000000001
50,0.01,27,17024.15,59895.0,0.48,906.9666666666667
50,0.01,28,14534.25,51907.0,0.4066666666666667,815.2666666666668
50,0.01,29,15160.22,51918.0,0.44,696.2066666666666
50,0.01,30,16541.73,39869.0,0.47333333333333333,815.6933333333333
50,0.01,31,16113.18,59837.5,0.4466666666666667,934.06
50,0.01,32,15317.5,39870.5,0.41333333333333333,999.8333333333334
50,0.01,33,17403.02,39874.0,0.48,1026.54
50,0.01,34,19225.87,69863.0,0.5933333333333334,526.84
